ensembl_gene_id,gene_id
ENSG00000000003,7105.0
ENSG00000000005,64102.0
ENSG00000000419,8813.0
ENSG00000000457,57147.0
ENSG00000000460,55732.0
ENSG00000000938,2268.0
ENSG00000000971,3075.0
ENSG00000001036,2519.0
ENSG00000001084,2729.0
ENSG00000001167,4800.0
ENSG00000001460,90529.0
ENSG00000001461,57185.0
ENSG00000001497,81887.0
ENSG00000001561,22875.0
ENSG00000001617,6405.0
ENSG00000001626,1080.0
ENSG00000001629,54467.0
ENSG00000001630,1595.0
ENSG00000001631,889.0
ENSG00000002016,5893.0
ENSG00000002079,84176.0
ENSG00000002330,572.0
ENSG00000002549,51056.0
ENSG00000002586,4267.0
ENSG00000002587,9957.0
ENSG00000002726,26.0
ENSG00000002745,51384.0
ENSG00000002746,23072.0
ENSG00000002822,8379.0
ENSG00000002834,3927.0
ENSG00000002919,29916.0
ENSG00000002933,55365.0
ENSG00000003056,4074.0
ENSG00000003096,90293.0
ENSG00000003137,56603.0
ENSG00000003147,3382.0
ENSG00000003249,79007.0
ENSG00000003393,57679.0
ENSG00000003400,843.0
ENSG00000003402,8837.0
ENSG00000003436,7035.0
ENSG00000003509,55471.0
ENSG00000003756,10181.0
ENSG00000003987,9108.0
ENSG00000003989,6542.0
ENSG00000004059,381.0
ENSG00000004139,23098.0
ENSG00000004142,26073.0
ENSG00000004399,23129.0
ENSG00000004455,204.0
ENSG00000004468,952.0
ENSG00000004478,2288.0
ENSG00000004487,23028.0
ENSG00000004534,10180.0
ENSG00000004660,84254.0
ENSG00000004700,5965.0
ENSG00000004766,55610.0
ENSG00000004776,126393.0
ENSG00000004777,115703.0
ENSG00000004779,4706.0
ENSG00000004799,5166.0
ENSG00000004809,85413.0
ENSG00000004838,51364.0
ENSG00000004846,340273.0
ENSG00000004848,170302.0
ENSG00000004864,10165.0
ENSG00000004866,7982.0
ENSG00000004897,996.0
ENSG00000004939,6521.0
ENSG00000004948,799.0
ENSG00000004961,3052.0
ENSG00000004975,1856.0
ENSG00000005001,64063.0
ENSG00000005007,5976.0
ENSG00000005020,8935.0
ENSG00000005022,292.0
ENSG00000005059,55013.0
ENSG00000005073,3207.0
ENSG00000005075,5439.0
ENSG00000005100,56919.0
ENSG00000005102,4222.0
ENSG00000005108,221981.0
ENSG00000005156,3980.0
ENSG00000005175,79657.0
ENSG00000005187,6296.0
ENSG00000005194,57019.0
ENSG00000005206,56928.0
ENSG00000005238,80256.0
ENSG00000005243,51226.0
ENSG00000005249,5577.0
ENSG00000005302,10943.0
ENSG00000005339,1387.0
ENSG00000005379,9256.0
ENSG00000005381,4353.0
ENSG00000005421,5444.0
ENSG00000005436,6936.0
ENSG00000005448,84058.0
ENSG00000005469,54677.0
ENSG00000005471,5244.0
ENSG00000005483,55904.0
ENSG00000005486,57414.0
ENSG00000005513,30812.0
ENSG00000005700,25998.0
ENSG00000005801,7748.0
ENSG00000005810,23077.0
ENSG00000005812,26224.0
ENSG00000005844,3683.0
ENSG00000005882,5164.0
ENSG00000005884,3675.0
ENSG00000005889,7543.0
ENSG00000005893,3920.0
ENSG00000005961,3674.0
ENSG00000005981,51666.0
ENSG00000006007,51573.0
ENSG00000006015,55049.0
ENSG00000006016,9244.0
ENSG00000006025,114881.0
ENSG00000006042,26022.0
ENSG00000006047,51087.0
ENSG00000006059,3883.0
ENSG00000006062,9020.0
ENSG00000006071,6833.0
ENSG00000006116,10368.0
ENSG00000006118,54972.0
